exclusion_class,conversation_id,customer_id,business_id,phone,customer_name,status,current_state,conversation_created_at,last_message_at,message_count,turn_count,completed_turns,non_completed_turns,eval_trace_count,twilio_message_sid_count,first_message_at,message_last_at,first_message_preview,last_message_preview,summary,review_context,review_decision
synthetic_eval,396f7782-c944-44d6-af14-3596dcebc06e,61457627-b432-4919-8701-3e72a8afb857,ef9005a2-efe1-45bf-9da0-313b5902d9b4,+1555161602070063,V2 Synthetic Eval smoke-v2-fix3b,active,awaiting_confirmation,2026-05-06 18:09:20.242832-07,2026-05-06 18:09:36.459-07,8,4,4,0,0,0,2026-05-06 18:09:20.26377-07,2026-05-06 18:09:36.509482-07,agregame un Hielo Flor,📋 *Resumen de tu pedido:* • 1x Hielo Flor — $10 • 1x REFIL VASO CORAZÓN — $80 💰 *Total: $90* 📝 *Nota:* con leche de coco ¿Confirmas? ✅,,"",keep_eval_archive
synthetic_eval,19c26641-e010-483b-984e-360a93ed0252,b60cfb55-dc55-426e-98d8-6553f5100ac5,ef9005a2-efe1-45bf-9da0-313b5902d9b4,+1555161518460066,V2 Synthetic Eval smoke-v2-fix3,active,clarification_needed,2026-05-06 18:09:11.881557-07,2026-05-06 18:09:29.703-07,8,4,4,0,0,0,2026-05-06 18:09:11.905278-07,2026-05-06 18:09:29.752994-07,dame un Moka,Creo que todavía me falta el producto exacto. ¿Cuál quieres que agregue?,,"",keep_eval_archive
synthetic_eval,c3e5574f-03f6-4a67-9da2-9f442dbc8abc,1d0105c8-292b-45c7-b933-1d49e2af6952,ef9005a2-efe1-45bf-9da0-313b5902d9b4,+1555161395160062,V2 Synthetic Eval smoke-v2-fix3b,active,clarification_needed,2026-05-06 18:08:59.560198-07,2026-05-06 18:09:19.994-07,8,4,4,0,0,0,2026-05-06 18:08:59.58453-07,2026-05-06 18:09:20.061599-07,quiero un Matcha Rosa,Creo que todavía me falta el producto exacto. ¿Cuál quieres que agregue?,,"",keep_eval_archive
synthetic_eval,5e693ebc-40b5-495c-94d9-b671750297ef,580b0ca9-270f-48c4-bcd8-cba845bd53f3,ef9005a2-efe1-45bf-9da0-313b5902d9b4,+1555161343550065,V2 Synthetic Eval smoke-v2-fix3,active,clarification_needed,2026-05-06 18:08:54.39261-07,2026-05-06 18:09:11.631-07,8,4,4,0,0,0,2026-05-06 18:08:54.415204-07,2026-05-06 18:09:11.691304-07,me das un Moka Blanco,Creo que todavía me falta el producto exacto. ¿Cuál quieres que agregue?,,"",keep_eval_archive
synthetic_eval,f71ed8de-06a3-4f12-a63f-cb33c164556b,f1e57d54-80e3-4e7d-b091-7703f6608802,ef9005a2-efe1-45bf-9da0-313b5902d9b4,+1555161224810061,V2 Synthetic Eval smoke-v2-fix3b,active,clarification_needed,2026-05-06 18:08:42.53239-07,2026-05-06 18:08:59.283-07,8,4,4,0,0,0,2026-05-06 18:08:42.572124-07,2026-05-06 18:08:59.350223-07,dame un Matcha Agua,Creo que todavía me falta el producto exacto. ¿Cuál quieres que agregue?,,"",keep_eval_archive
synthetic_eval,c666a17b-07e2-4a43-b774-d8bec9171f61,8231d22e-1bb1-4b83-a6e6-a943634b76f8,ef9005a2-efe1-45bf-9da0-313b5902d9b4,+1555161340790069,V2 Synthetic Eval smoke-v2-fix3,active,awaiting_confirmation,2026-05-06 18:08:54.123475-07,2026-05-06 18:08:59.194-07,3,2,1,1,0,0,2026-05-06 18:08:54.154834-07,2026-05-06 18:08:59.401975-07,ponme un Cuernito croissant solo,chico,,"",keep_eval_archive
synthetic_eval,74a9965d-c0ba-4ca2-8926-4f876f622821,1c7d05cc-7704-4a77-b966-2a3440426d66,ef9005a2-efe1-45bf-9da0-313b5902d9b4,+1555161150400064,V2 Synthetic Eval smoke-v2-fix3,active,clarification_needed,2026-05-06 18:08:35.073436-07,2026-05-06 18:08:54.109-07,8,4,4,0,0,0,2026-05-06 18:08:35.092381-07,2026-05-06 18:08:54.177377-07,ponme un Matcha Latte,Creo que todavía me falta el producto exacto. ¿Cuál quieres que agregue?,,"",keep_eval_archive
synthetic_eval,f4852d12-91d8-415f-b5a3-60a14ec34713,2628132d-d6f6-4841-a2f7-d602e3224f30,ef9005a2-efe1-45bf-9da0-313b5902d9b4,+1555161157950068,V2 Synthetic Eval smoke-v2-fix3,active,clarification_needed,2026-05-06 18:08:35.828139-07,2026-05-06 18:08:53.874-07,8,4,4,0,0,0,2026-05-06 18:08:35.853494-07,2026-05-06 18:08:53.937644-07,agregame un La Mesa de Leonor,Creo que todavía me falta el producto exacto. ¿Cuál quieres que agregue?,,"",keep_eval_archive
synthetic_eval,cafbb76a-2db5-4b38-93e6-fe4667907601,c132ec6f-925a-4def-bcbc-a965189e9cbe,ef9005a2-efe1-45bf-9da0-313b5902d9b4,+1555160983220067,V2 Synthetic Eval smoke-v2-fix3,active,awaiting_confirmation,2026-05-06 18:08:18.359191-07,2026-05-06 18:08:35.548-07,8,4,4,0,0,0,2026-05-06 18:08:18.385225-07,2026-05-06 18:08:35.602376-07,quiero un The coco club,📋 *Resumen de tu pedido:* • 1x The coco club — $0 • 1x Hielo Flor — $10 💰 *Total: $10* 📝 *Nota:* en las rocas ¿Confirmas? ✅,,"",keep_eval_archive
synthetic_eval,2791d7a6-7f10-43cb-bfbf-e5b27c5b180a,2eff2be5-55c1-4e35-8b64-3cfaadadf9af,ef9005a2-efe1-45bf-9da0-313b5902d9b4,+1555160960630063,V2 Synthetic Eval smoke-v2-fix3,active,clarification_needed,2026-05-06 18:08:16.102722-07,2026-05-06 18:08:34.84-07,8,4,4,0,0,0,2026-05-06 18:08:16.132076-07,2026-05-06 18:08:34.894079-07,agregame un Lavanda Latte,Creo que todavía me falta el producto exacto. ¿Cuál quieres que agregue?,,"",keep_eval_archive
synthetic_eval,38c1852d-20c6-4288-9c6a-6a67f4706fa5,f990dad8-9851-4e47-9219-19d07ee657a7,ef9005a2-efe1-45bf-9da0-313b5902d9b4,+1555160794530066,V2 Synthetic Eval smoke-v2-fix3,active,clarification_needed,2026-05-06 18:07:59.485001-07,2026-05-06 18:08:18.119-07,8,4,4,0,0,0,2026-05-06 18:07:59.533232-07,2026-05-06 18:08:18.184909-07,dame un Lavanda Latte,Creo que todavía me falta el producto exacto. ¿Cuál quieres que agregue?,,"",keep_eval_archive
synthetic_eval,1f9cd2f0-c64e-45f6-9e5a-49e00d31e470,6ce62413-3b81-4b5d-9ae7-06fe62663685,ef9005a2-efe1-45bf-9da0-313b5902d9b4,+1555160773750062,V2 Synthetic Eval smoke-v2-fix3,active,clarification_needed,2026-05-06 18:07:57.409299-07,2026-05-06 18:08:15.85-07,8,4,4,0,0,0,2026-05-06 18:07:57.428102-07,2026-05-06 18:08:15.915603-07,quiero un Latte Regular,Creo que todavía me falta el producto exacto. ¿Cuál quieres que agregue?,,"",keep_eval_archive
synthetic_eval,ab0a92db-41ac-40c5-822b-ec07512615a2,e4e46146-83af-4e32-88ce-9ba6be257f2a,ef9005a2-efe1-45bf-9da0-313b5902d9b4,+1555160610230065,V2 Synthetic Eval smoke-v2-fix3,active,clarification_needed,2026-05-06 18:07:41.063397-07,2026-05-06 18:07:59.234-07,8,4,4,0,0,0,2026-05-06 18:07:41.087048-07,2026-05-06 18:07:59.287679-07,me das un Latte Regular,Creo que todavía me falta el producto exacto. ¿Cuál quieres que agregue?,,"",keep_eval_archive
synthetic_eval,01d0e1a6-13f1-4a38-9458-2bae7b9aee63,219531b8-d2a4-487d-b878-45db68a92047,ef9005a2-efe1-45bf-9da0-313b5902d9b4,+1555160567720061,V2 Synthetic Eval smoke-v2-fix3,active,clarification_needed,2026-05-06 18:07:36.809289-07,2026-05-06 18:07:57.113-07,8,4,4,0,0,0,2026-05-06 18:07:36.835925-07,2026-05-06 18:07:57.224186-07,dame un Sugar Free Latte,Creo que todavía me falta el producto exacto. ¿Cuál quieres que agregue?,,"",keep_eval_archive
synthetic_eval,857ef396-a06b-4a1e-8992-83708f493590,22e70c3b-9518-499e-ba9f-ac59023c6bfd,ef9005a2-efe1-45bf-9da0-313b5902d9b4,+1555160416940064,V2 Synthetic Eval smoke-v2-fix3,active,clarification_needed,2026-05-06 18:07:21.729636-07,2026-05-06 18:07:40.778-07,8,4,4,0,0,0,2026-05-06 18:07:21.755148-07,2026-05-06 18:07:40.842321-07,ponme un Caramelo vainilla,Creo que todavía me falta el producto exacto. ¿Cuál quieres que agregue?,,"",keep_eval_archive
synthetic_eval,aaddc14f-2c23-443a-b742-9dcb41089ac3,9c2cb038-adeb-48a2-b824-6bd4c21fadab,ef9005a2-efe1-45bf-9da0-313b5902d9b4,+1555160239310063,V2 Synthetic Eval smoke-v2-fix3,active,clarification_needed,2026-05-06 18:07:03.977891-07,2026-05-06 18:07:21.465-07,8,4,4,0,0,0,2026-05-06 18:07:04.000676-07,2026-05-06 18:07:21.530294-07,agregame un Pumpkin Spice Latte,Creo que todavía me falta el producto exacto. ¿Cuál quieres que agregue?,,"",keep_eval_archive
synthetic_eval,79edcb2b-9090-42d9-bf4a-88fa198812c9,5ca5e8c0-a52e-4835-b40c-7914b879aa00,ef9005a2-efe1-45bf-9da0-313b5902d9b4,+1555160074110062,V2 Synthetic Eval smoke-v2-fix3,active,clarification_needed,2026-05-06 18:06:47.445491-07,2026-05-06 18:07:03.678-07,8,4,4,0,0,0,2026-05-06 18:06:47.466724-07,2026-05-06 18:07:03.745398-07,quiero un Rosa Latte,Creo que todavía me falta el producto exacto. ¿Cuál quieres que agregue?,,"",keep_eval_archive
synthetic_eval,7355c19a-e65c-4cee-a06d-8579d13d33cc,633251bf-f80e-4cbe-84dc-248cb90445cc,ef9005a2-efe1-45bf-9da0-313b5902d9b4,+1555159910120061,V2 Synthetic Eval smoke-v2-fix3,active,clarification_needed,2026-05-06 18:06:31.076737-07,2026-05-06 18:06:47.197-07,8,4,4,0,0,0,2026-05-06 18:06:31.108571-07,2026-05-06 18:06:47.259125-07,dame un Vainilla Latte,Creo que todavía me falta el producto exacto. ¿Cuál quieres que agregue?,,"",keep_eval_archive
synthetic_eval,7fe0b4a8-f129-402c-8473-5a1a8ea57000,77860a3f-e308-468c-8fea-34938b3e8228,ef9005a2-efe1-45bf-9da0-313b5902d9b4,+1555157681070080,V2 Synthetic Eval smoke-v2-fix2,active,clarification_needed,2026-05-06 18:02:48.625001-07,2026-05-06 18:02:56.16-07,4,2,2,0,0,0,2026-05-06 18:02:48.654136-07,2026-05-06 18:02:56.258045-07,me das un Matcha Sugar Free,"Va, dejamos eso. ¿Qué te gustaría pedir ahora?",,"",keep_eval_archive
synthetic_eval,c0a00873-5c5a-4354-87da-04b232b7cfcb,c487e986-a8c4-4256-beca-92a0cd72a0e3,ef9005a2-efe1-45bf-9da0-313b5902d9b4,+1555157548190079,V2 Synthetic Eval smoke-v2-fix2,active,clarification_needed,2026-05-06 18:02:34.856704-07,2026-05-06 18:02:47.825-07,4,2,2,0,0,0,2026-05-06 18:02:34.890284-07,2026-05-06 18:02:47.89508-07,ponme un Matcha Mascabado,"Va, dejamos eso. ¿Qué te gustaría pedir ahora?",,"",keep_eval_archive
synthetic_eval,2c610792-0d1e-4e78-9c27-b9db575d742e,4d534cfa-f20a-4316-9a91-a304c779b753,ef9005a2-efe1-45bf-9da0-313b5902d9b4,+1555157460130078,V2 Synthetic Eval smoke-v2-fix2,active,clarification_needed,2026-05-06 18:02:26.060275-07,2026-05-06 18:02:34.592-07,4,2,2,0,0,0,2026-05-06 18:02:26.092541-07,2026-05-06 18:02:34.654098-07,agregame un 3 quesos,"Va, dejamos eso. ¿Qué te gustaría pedir ahora?",,"",keep_eval_archive
synthetic_eval,b7f89dc1-e093-4bae-bf00-66337df4f974,630bf621-084b-4186-8906-06fbcf3f7510,ef9005a2-efe1-45bf-9da0-313b5902d9b4,+1555157377500077,V2 Synthetic Eval smoke-v2-fix2,active,clarification_needed,2026-05-06 18:02:17.806208-07,2026-05-06 18:02:25.625-07,4,2,2,0,0,0,2026-05-06 18:02:17.837763-07,2026-05-06 18:02:25.747627-07,quiero un VASO DOBLE REDONDO,"Va, dejamos eso. ¿Qué te gustaría pedir ahora?",,"",keep_eval_archive
synthetic_eval,ecfbfcfa-5de1-4b38-9c47-edd1b945b297,fa17cf68-882d-4b37-81cb-1de95590c5af,ef9005a2-efe1-45bf-9da0-313b5902d9b4,+1555157284250076,V2 Synthetic Eval smoke-v2-fix2,active,awaiting_confirmation,2026-05-06 18:02:08.656377-07,2026-05-06 18:02:17.297-07,4,2,2,0,0,0,2026-05-06 18:02:08.727847-07,2026-05-06 18:02:17.419277-07,dame un REFIL VASO CORAZÓN,📋 *Resumen de tu pedido:* • 2x REFIL VASO CORAZÓN — $160 💰 *Total: $160* ¿Confirmas? ✅,,"",keep_eval_archive
synthetic_eval,a1f7a398-d8e2-416d-9ef7-73383312c331,8ae9b88e-c7e0-4d17-8e33-ebfa50c8fb7d,ef9005a2-efe1-45bf-9da0-313b5902d9b4,+1555157108370005,V2 Synthetic Eval smoke-v2-fix1,active,browsing,2026-05-06 18:01:50.869131-07,2026-05-06 18:01:55.988-07,2,1,1,0,0,0,2026-05-06 18:01:50.893268-07,2026-05-06 18:01:56.56624-07,venden Vainilla Latte?,¡Claro que sí! 😊 Tenemos Vainilla Latte disponible en nuestro menú de café. ¿Te gustaría ordenar uno? Te puedo ayudar con el tamaño y cualquier otra preferencia que tengas.,,"",keep_eval_archive
synthetic_eval,ca95af1f-7214-4b2f-88d8-970de04c7ace,41463bd3-4803-4b90-95ed-36842a444235,ef9005a2-efe1-45bf-9da0-313b5902d9b4,+1555157062600004,V2 Synthetic Eval smoke-v2-fix1,active,browsing,2026-05-06 18:01:46.295461-07,2026-05-06 18:01:50.626-07,2,1,1,0,0,0,2026-05-06 18:01:46.325424-07,2026-05-06 18:01:50.685603-07,me puedes decir si hay The coco club?,¡Claro! Sí tenemos **The coco club** disponible. ¿Qué necesitas saber de él o quieres hacer una reserva? 😊,,"",keep_eval_archive
synthetic_eval,58423e1a-be85-4429-96f1-7a3790d8cdf8,78a1b9ac-47d5-49c6-a3fc-bf6efaba4ffc,ef9005a2-efe1-45bf-9da0-313b5902d9b4,+1555157008230003,V2 Synthetic Eval smoke-v2-fix1,active,browsing,2026-05-06 18:01:40.86181-07,2026-05-06 18:01:46.047-07,2,1,1,0,0,0,2026-05-06 18:01:40.884413-07,2026-05-06 18:01:46.106063-07,manejan La Mesa de Leonor?,"¡Claro que sí! Tenemos **La Mesa de Leonor** 🍰 Es un postre que va desde $22 hasta $115, dependiendo de la presentación que elijas. ¿Qué tamaño o presentación te gustaría?",,"",keep_eval_archive
synthetic_eval,3d28cd09-ac5c-4988-9345-e1e7ee24973e,91f5a912-2268-4ec0-954d-d6235ec7e33e,ef9005a2-efe1-45bf-9da0-313b5902d9b4,+1555156958380002,V2 Synthetic Eval smoke-v2-fix1,active,browsing,2026-05-06 18:01:35.874463-07,2026-05-06 18:01:40.571-07,2,1,1,0,0,0,2026-05-06 18:01:35.899174-07,2026-05-06 18:01:40.62946-07,hay Cuernito croissant solo?,¡Sí! Tenemos **Cuernito croissant solo** a $30. ¿Te lo agrego al pedido? 🥐,,"",keep_eval_archive
synthetic_eval,521a3872-d8b3-4b19-b64a-ea33ad349e73,9e8658ff-9c63-43b8-b770-047b25fa7834,ef9005a2-efe1-45bf-9da0-313b5902d9b4,+1555156889120001,V2 Synthetic Eval smoke-v2-fix1,active,browsing,2026-05-06 18:01:28.991869-07,2026-05-06 18:01:35.153-07,2,1,1,0,0,0,2026-05-06 18:01:29.05067-07,2026-05-06 18:01:35.619926-07,tienes Galleta Alicia?,"¡Hola! 👋 No tenemos exactamente ""Galleta Alicia"", pero sí tenemos opciones parecidas en postres: 🍪 **Alicia santiesteban** — $50 🥐 **La Mesa de Leonor** — $22 a $115 🍫 **BROWNIES C",,"",keep_eval_archive
synthetic_eval,097da840-c164-472b-8211-0a47dc69e1f4,b055184d-9cf6-484e-8553-01b87a50c69e,ef9005a2-efe1-45bf-9da0-313b5902d9b4,+1555311045490003,V2 Synthetic Eval smoke-v2-deploy,active,browsing,2026-05-05 18:31:44.579519-07,2026-05-05 18:31:48.701-07,2,1,1,0,0,0,2026-05-05 18:31:44.598307-07,2026-05-05 18:31:48.755772-07,manejan Pumpkin Spice Latte?,"¡Claro que sí! 😊 Tenemos dos opciones con Pumpkin Spice: 1. **Pumpkin Spice Latte** - Café clásico ($91–$1,117) 2. **Matcha Pumpkin Spice Latte** - Con matcha ($107–$139) ¿Cuál te ",,"",keep_eval_archive
synthetic_eval,da8bc997-ca90-42eb-b377-5ceb4aeec937,ca333b4a-aeea-4e97-aa9b-2874263cdf73,ef9005a2-efe1-45bf-9da0-313b5902d9b4,+1555311001440002,V2 Synthetic Eval smoke-v2-deploy,active,browsing,2026-05-05 18:31:40.174225-07,2026-05-05 18:31:44.333-07,2,1,1,0,0,0,2026-05-05 18:31:40.19731-07,2026-05-05 18:31:44.412987-07,hay Rosa Latte?,¡Claro que sí! Tenemos Rosa Latte disponible 🌹☕ Es un café de nuestra categoría de bebidas. Los precios van de $75 a $101 dependiendo del tamaño. ¿Te gustaría ordenar uno?,,"",keep_eval_archive
synthetic_eval,86ac03c1-a617-4a2d-a40f-8c344747fc9b,efb87471-179c-414a-80ac-51822067088c,ef9005a2-efe1-45bf-9da0-313b5902d9b4,+1555310953820001,V2 Synthetic Eval smoke-v2-deploy,active,browsing,2026-05-05 18:31:35.415764-07,2026-05-05 18:31:39.84-07,2,1,1,0,0,0,2026-05-05 18:31:35.437438-07,2026-05-05 18:31:39.88778-07,tienes Vainilla Latte?,"¡Claro! Sí tenemos Vainilla Latte 🤎 Está en nuestro menú de cafés, entre $75 y $101 según el tamaño. ¿Quieres que te lo prepare?",,"",keep_eval_archive
synthetic_eval,12193e3c-ba12-4541-bf01-1e16893dcadf,7d3c7485-5662-4b1d-a86d-245026bc21ee,ef9005a2-efe1-45bf-9da0-313b5902d9b4,+1555310799650003,V2 Synthetic Eval smoke-v2-deploy,active,browsing,2026-05-05 18:31:19.995819-07,2026-05-05 18:31:25.151-07,2,1,1,0,0,0,2026-05-05 18:31:20.015427-07,2026-05-05 18:31:25.237592-07,manejan Rosa Latte?,"¡Claro! Sí manejamos Rosa Latte 🎉 Es un café que tenemos en nuestro menú, con precios entre $75 y $101 dependiendo del tamaño. ¿Quieres ordenar uno? Te digo los detalles exactos si",,"",keep_eval_archive
synthetic_eval,9771815e-3b58-471f-be5f-f8cec410c281,a898a33f-da80-43cc-9af9-35942d48bd30,ef9005a2-efe1-45bf-9da0-313b5902d9b4,+1555310751510002,V2 Synthetic Eval smoke-v2-deploy,active,browsing,2026-05-05 18:31:15.186472-07,2026-05-05 18:31:19.775-07,2,1,1,0,0,0,2026-05-05 18:31:15.209853-07,2026-05-05 18:31:19.829122-07,hay Vainilla Latte?,"¡Claro! Sí tenemos Vainilla Latte 🤎 Está en nuestro menú de cafés, con un rango de precio entre $75 y $101 dependiendo del tamaño. ¿Te gustaría ordenar uno?",,"",keep_eval_archive
synthetic_eval,c893d152-155c-423c-b4d3-cfb716c2042d,4b8b69d3-7a67-4c18-8257-3b18a60959cd,ef9005a2-efe1-45bf-9da0-313b5902d9b4,+1555310704980001,V2 Synthetic Eval smoke-v2-deploy,active,browsing,2026-05-05 18:31:10.555575-07,2026-05-05 18:31:14.914-07,2,1,1,0,0,0,2026-05-05 18:31:10.597169-07,2026-05-05 18:31:14.977564-07,tienes La Mesa de Leonor?,¡Claro que sí! Tenemos **La Mesa de Leonor** 🍰 Es un postre que va desde $22 hasta $115 dependiendo del tamaño o presentación que elijas. ¿Cuál te gustaría?,,"",keep_eval_archive
synthetic_eval,53d14581-b624-4e79-9818-c536285bee9c,93da43a5-fb88-4996-8aaf-beb9246a0077,ef9005a2-efe1-45bf-9da0-313b5902d9b4,+1555310660600003,V2 Synthetic Eval smoke-v2-deploy,active,browsing,2026-05-05 18:31:06.099726-07,2026-05-05 18:31:11.374-07,2,1,1,0,0,0,2026-05-05 18:31:06.123453-07,2026-05-05 18:31:11.440754-07,manejan La Mesa de Leonor?,"¡Sí, claro! Tenemos **La Mesa de Leonor** 🍰 Es un postre que va desde $22 hasta $115 dependiendo de la presentación. ¿Quieres hacer un pedido o prefieres conocer más detalles?",,"",keep_eval_archive
synthetic_eval,fe9b5aef-9879-446c-9099-5f3065c81cfb,12581273-23de-4775-9846-1c737cbbb851,ef9005a2-efe1-45bf-9da0-313b5902d9b4,+1555310611220002,V2 Synthetic Eval smoke-v2-deploy,active,browsing,2026-05-05 18:31:01.187721-07,2026-05-05 18:31:05.832-07,2,1,1,0,0,0,2026-05-05 18:31:01.221402-07,2026-05-05 18:31:05.901358-07,hay Vainilla Latte?,¡Sí! Tenemos Vainilla Latte 🤎 Está disponible de $75 a $101 dependiendo del tamaño. ¿Te gustaría ordenar uno?,,"",keep_eval_archive
synthetic_eval,c4184454-be30-467e-b98c-58e926c066d2,01c757bf-51cd-41cd-88c9-9b2293fde8a3,ef9005a2-efe1-45bf-9da0-313b5902d9b4,+1555310038260001,V2 Synthetic Eval smoke-v2-deploy,active,browsing,2026-05-05 18:30:03.916988-07,2026-05-05 18:31:00.612-07,2,1,1,0,0,0,2026-05-05 18:30:03.961255-07,2026-05-05 18:31:00.807422-07,tienes The coco club?,"¡Sí, claro! Tenemos **The coco club** disponible. ¿Qué necesitas? ¿Quieres hacer una reserva o tienes alguna pregunta sobre el espacio?",,"",keep_eval_archive
